species_id,phylum_lat,class_lat,order_lat,family_lat,taxon_lat_original,taxon_lat,genus_lat,nativeness_hu,Maximum magasság,Életforma,Szociális magatartási típus,Flóraelem besorolás,invasion_status_hu,Terjedési stratégia,Virágzás kezdete,Virágzás időtartama,WZ,WB,FS,ELLF,RZ,LB,ELLS,NS,NB,ELLN
24,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Achillea ptarmica L.,Achillea ptarmica,Achillea,őshonos,80,He,Sr,EUA,,Allium,5,3,8,8,3-4,8,4,8,0,1-2,3,2
25,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Achillea setacea Waldst. et Kit.,Achillea setacea,Achillea,őshonos,30,He,G,CON,,Allium,6,3,2,2,2,2,5,9,0,1,1,1
26,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Achillea stricta Schleich. ex Gremli,Achillea stricta,Achillea,őshonos,40,He,,,,Allium,6,5,,,,,,,,,,
27,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Achillea tuzsonii Ujhelyi,Achillea tuzsonii,Achillea,őshonos,50,He,,END,,Allium,6,2,2,,,,4,,,,,
28,Angiospermae,Magnoliopsida,Lamiales,Lamiaceae,Acinos arvensis (Lam.) Dandy,Acinos arvensis,Acinos,őshonos,30,Th(-HT),NP,EUR,,Allium,5,3,1,2,1-2,2,4,9,0,1,1,1
29,Angiospermae,Magnoliopsida,Ranunculales,Ranunculaceae,Aconitum anthora L.,Aconitum anthora,Aconitum,őshonos,60,He,S,EUA,,Allium,8,2,3,4,1-2,,5,6,,2-3,5,
30,Angiospermae,Magnoliopsida,Ranunculales,Ranunculaceae,Aconitum moldavicum Hacq.,Aconitum moldavicum,Aconitum,őshonos,120,He,Sr,CAR,,Allium,6,2,6,6,3,,4,4,,3-4,6,
31,Angiospermae,Magnoliopsida,Ranunculales,Ranunculaceae,Aconitum variegatum L.,Aconitum variegatum,Aconitum,őshonos,150,He,Sr,CEA,,Allium,7,3,6,5,3,7,3,5,0,3-4,6,7
32,Angiospermae,Magnoliopsida,Ranunculales,Ranunculaceae,Aconitum vulparia Rchb.,Aconitum vulparia,Aconitum,őshonos,150,He,S,CEU,,Allium,6,3,7,7,3,7,3,3,0,3-4,7,8
33,Angiospermae,Liliopsida,Alismatales,Araceae,Acorus calamus L.,Acorus calamus,Acorus,idegenhonos,150,HH(Ge),S,ADV,meghonosodott faj,Zea,6,2,10,10,5,10,4,8,0,3,7,7
34,Angiospermae,Magnoliopsida,Ranunculales,Ranunculaceae,Actaea spicata L.,Actaea spicata,Actaea,őshonos,60,He,G,EUA,,Cornus,5,2,6,6,3,5,3,2,0,4,7,7
35,Angiospermae,Magnoliopsida,Asterales,Campanulaceae,Adenophora liliifolia (L.) Ledeb. ex A. DC.,Adenophora liliifolia,Adenophora,őshonos,100,He,Gr,EUA,,Allium,6,4,4,6,3,6,3,6,0,2,4,2
36,Angiospermae,Magnoliopsida,Ranunculales,Ranunculaceae,Adonis aestivalis L.,Adonis aestivalis,Adonis,idegenhonos,60,Th,W,EUA,meghonosodott faj,Allium,5,3,4,3,2,3,3,6,0,1-2,3,3
37,Angiospermae,Magnoliopsida,Ranunculales,Ranunculaceae,Adonis flammea Jacq.,Adonis flammea,Adonis,rejtett honosságú,50,Th,W,PoM,meghonosodott faj,Allium,5,3,3,3,2,3,4,6,0,1-2,2,3
38,Angiospermae,Magnoliopsida,Ranunculales,Ranunculaceae,Adonis vernalis L.,Adonis vernalis,Adonis,őshonos,40,He,S,CON,,Allium,3,3,3,3,1-2,3,5,8,0,1,1,2
39,Angiospermae,Magnoliopsida,Ranunculales,Ranunculaceae,Adonis volgensis Steven in DC.,Adonis volgensis,Adonis,őshonos,40,He,Su,PoP,,Allium,4,1,1,3,1,,5,9,,1,1,
40,Angiospermae,Magnoliopsida,Dipsacales,Viburnaceae,Adoxa moschatellina L.,Adoxa moschatellina,Adoxa,őshonos,20,Ge-He,S,CIR,,Allium,3,3,6,6,3,6,4,4,0,3-4,8,8
41,Angiospermae,Liliopsida,Poales,Poaceae,Aegilops cylindrica Host,Aegilops cylindrica,Aegilops,idegenhonos,45,Th,DT,EUA,meghonosodott faj,Allium,5,2,2,2,2,,,9,,2,2,
42,Angiospermae,Magnoliopsida,Apiales,Apiaceae,Aegopodium podagraria L.,Aegopodium podagraria,Aegopodium,őshonos,100,Ge-He,C,EUA,,Allium,5,2,7,7,3-4,6,3,4,0,4,8,8
43,Angiospermae,Magnoliopsida,Sapindales,Sapindaceae,Aesculus hippocastanum L.,Aesculus hippocastanum,Aesculus,idegenhonos,2500,MM,I,ADV,meghonosodott faj,Cornus,5,2,,7,,,,5,,,7,
44,Angiospermae,Magnoliopsida,Sapindales,Sapindaceae,Aesculus carnea Hayne,Aesculus carnea,Aesculus,idegenhonos,2000,MM,,,alkalmi faj,Cornus,4,2,,,,,,,,,,
45,Angiospermae,Magnoliopsida,Brassicales,Brassicaceae,Aethionema saxatile (L.) R. Br.,Aethionema saxatile,Aethionema,őshonos,25,(HT-)He,S,SME,,Allium,4,3,1,1,2,4,5,9,0,1,1,2
46,Angiospermae,Magnoliopsida,Apiales,Apiaceae,Aethusa cynapium L.,Aethusa cynapium,Aethusa,rejtett honosságú,200,Th(-HT),DT,EUR,meghonosodott faj,Allium,6,4,7,6,3,5,0,6,0,3,7,6
47,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Ageratina altissima (L.) R.M. King et H. Rob.,Ageratina altissima,Ageratina,idegenhonos,180,He,,,alkalmi faj,Epilobium,7,4,,,,,,,,,,
48,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Ageratum houstonianum Mill.,Ageratum houstonianum,Ageratum,idegenhonos,40,Th,,,alkalmi faj,Zea,6,5,,,,,,,,,,
49,Angiospermae,Magnoliopsida,Rosales,Rosaceae,Agrimonia eupatoria L.,Agrimonia eupatoria,Agrimonia,őshonos,100,He,DT,EUR,,Bidens,6,5,3,4,2-3,4,3,7,0,3,4,4
50,Angiospermae,Magnoliopsida,Rosales,Rosaceae,Agrimonia procera Wallr.,Agrimonia procera,Agrimonia,őshonos,120,He,G,SAT,,Bidens,6,5,4,5,3,5,3,6,0,3,5,4
51,Angiospermae,Liliopsida,Poales,Poaceae,Agropyron cristatum (L.) Gaertn.,Agropyron cristatum,Agropyron,őshonos,60,He,C,TUR,,Allium,6,2,1,1,2,,5,8,,1,1,
52,Angiospermae,Magnoliopsida,Caryophyllales,Caryophyllaceae,Agrostemma githago L.,Agrostemma githago,Agrostemma,idegenhonos,100,Th,W,KOZ,meghonosodott faj,Allium,6,2,,5,3,,,7,0,3,5,
53,Angiospermae,Liliopsida,Poales,Poaceae,Agrostis canina L.,Agrostis canina,Agrostis,őshonos,70,He,G,CIR,,Sparganium,6,3,6,8,3,9,3,9,0,1-2,2,2
54,Angiospermae,Liliopsida,Poales,Poaceae,Agrostis capillaris L.,Agrostis capillaris,Agrostis,őshonos,80,He,C,CIR,,Allium,6,3,3,4,2-3,,2,7,,2,3,4
55,Angiospermae,Liliopsida,Poales,Poaceae,Agrostis gigantea Roth,Agrostis gigantea,Agrostis,őshonos,120,He,,,,Allium,6,3,,,,8,,,0,,,6
56,Angiospermae,Liliopsida,Poales,Poaceae,Agrostis stolonifera agg.,Agrostis stolonifera,Agrostis,őshonos,70,He,C,KOZ,,Allium,6,3,8,7,3-4,7,4,8,0,2-3,5,5
57,Angiospermae,Liliopsida,Poales,Poaceae,Agrostis vinealis Schreb.,Agrostis vinealis,Agrostis,őshonos,40,He,,,,Allium,6,3,6,,2-3,,3,,,1-2,,
58,Angiospermae,Magnoliopsida,Sapindales,Simaroubaceae,Ailanthus altissima (Mill.) Swingle,Ailanthus altissima,Ailanthus,idegenhonos,1500,MM,AC,ADV,átalakító faj,Epilobium,6,2,3,5,,5,,6,0,,8,8
59,Angiospermae,Liliopsida,Poales,Poaceae,Aira caryophyllea L.,Aira caryophyllea,Aira,őshonos,30,Th,NP,AsM,,Allium,5,2,3,2,2,2,1,9,0,1,1,1
60,Angiospermae,Liliopsida,Poales,Poaceae,Aira elegantissima Schur,Aira elegantissima,Aira,őshonos,30,Th,NP,SME,,Allium,5,2,3,2,2,,1,9,,1,1,
61,Angiospermae,Magnoliopsida,Lamiales,Lamiaceae,Ajuga chamaepitys (L.) Schreb.,Ajuga chamaepitys,Ajuga,idegenhonos,15,Th,W,SME,meghonosodott faj,Allium,5,5,3,3,2,4,4,8,0,2,2,2
62,Angiospermae,Magnoliopsida,Lamiales,Lamiaceae,Ajuga genevensis L.,Ajuga genevensis,Ajuga,őshonos,30,He,G,PON,,Allium,5,2,4,4,1-3,3,4,8,0,1-2,2,2
63,Angiospermae,Magnoliopsida,Lamiales,Lamiaceae,Ajuga laxmannii (L.) Benth.,Ajuga laxmannii,Ajuga,őshonos,30,He,Sr,PoP,,Allium,6,2,2,2,2,,4,8,,1-2,2,
64,Angiospermae,Magnoliopsida,Lamiales,Lamiaceae,Ajuga reptans L.,Ajuga reptans,Ajuga,őshonos,30,He,DT,EUR,,Allium,4,3,6,6,3,6,3,6,0,2-3,5,6
65,Angiospermae,Magnoliopsida,Malvales,Malvaceae,Alcea biennis Winterl,Alcea biennis,Alcea,rejtett honosságú,150,HT-He,DT,PoM,meghonosodott faj,Allium,7,4,,4,2,,,9,,2,4,
66,Angiospermae,Magnoliopsida,Malvales,Malvaceae,Alcea rosea L.,Alcea rosea,Alcea,idegenhonos,250,HT-He,I,ADV,alkalmi faj,Allium,6,5,,,,,,,,,,
67,Angiospermae,Magnoliopsida,Rosales,Rosaceae,Alchemilla acutiloba Opiz,Alchemilla acutiloba,Alchemilla,őshonos,60,He,G,EUR,,Allium,6,3,,6,3,5,,8,0,3-4,7,6
68,Angiospermae,Magnoliopsida,Rosales,Rosaceae,Alchemilla crinita Buser,Alchemilla crinita,Alchemilla,őshonos,20,He,Sr,EUR,,Allium,6,4,,6,3,6,,7,0,3-4,7,4
69,Angiospermae,Magnoliopsida,Rosales,Rosaceae,Alchemilla filicaulis Buser,Alchemilla filicaulis,Alchemilla,őshonos,30,He,,,,Allium,6,3,,,,,,,,,,
70,Angiospermae,Magnoliopsida,Rosales,Rosaceae,Alchemilla glabra Neygenf.,Alchemilla glabra,Alchemilla,őshonos,30,He,Sr,CIR,,Allium,6,2,,8,3,,,8,,2,4,
71,Angiospermae,Magnoliopsida,Rosales,Rosaceae,Alchemilla glaucescens Wallr.,Alchemilla glaucescens,Alchemilla,őshonos,20,He,Sr,EUR,,Allium,5,3,,6,2,5,,8,0,2,4,3
72,Angiospermae,Magnoliopsida,Rosales,Rosaceae,Alchemilla hungarica Soó,Alchemilla hungarica,Alchemilla,őshonos,20,He,Sr,PAN,,Allium,5,3,5,7,2,6,2,8,0,2,3,
73,Angiospermae,Magnoliopsida,Rosales,Rosaceae,Alchemilla micans Buser,Alchemilla micans,Alchemilla,őshonos,30,He,G,EUR,,Allium,6,3,5,6,3,7,2,8,0,3-4,6,
74,Angiospermae,Magnoliopsida,Rosales,Rosaceae,Alchemilla monticola Opiz,Alchemilla monticola,Alchemilla,őshonos,30,He,G,EUA,,Allium,6,3,5,6,3,5,2,7,0,3-4,4,4
75,Angiospermae,Magnoliopsida,Rosales,Rosaceae,Alchemilla subcrenata Buser,Alchemilla subcrenata,Alchemilla,őshonos,30,He,,,,Allium,6,3,,,,5,,,0,,,6
76,Angiospermae,Magnoliopsida,Rosales,Rosaceae,Alchemilla xanthochlora Rothm.,Alchemilla xanthochlora,Alchemilla,őshonos,60,He,Sr,SAT,,Allium,6,2,5,7,3,7,2,7,0,2,4,
77,Angiospermae,Magnoliopsida,Caryophyllales,Droseraceae,Aldrovanda vesiculosa L.,Aldrovanda vesiculosa,Aldrovanda,őshonos,10,HH,Su,KOZ,,Wolffia,7,2,11,12,5,12,2,5,0,,5,4
78,Angiospermae,Liliopsida,Alismatales,Alismataceae,Alisma gramineum Lej.,Alisma gramineum,Alisma,őshonos,40,HH,G,CIR,,Sparganium,6,4,10,11,5,11,4,7,0,3,5,4
79,Angiospermae,Liliopsida,Alismatales,Alismataceae,Alisma lanceolatum With.,Alisma lanceolatum,Alisma,őshonos,50,HH,G,EUA,,Sparganium,6,4,10,10,5,10,4,7,0,3-4,5,5
80,Angiospermae,Liliopsida,Alismatales,Alismataceae,Alisma plantago-aquatica L.,Alisma plantago-aquatica,Alisma,őshonos,100,HH,G,CIR,,Sparganium,6,4,11,10,5,10,0,7,0,3-4,8,8
81,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Alkanna tinctoria (L.) Tausch,Alkanna tinctoria,Alkanna,őshonos,20,He,S,SME,,Allium,4,2,0,1,1,,5,9,,1,1,
82,Angiospermae,Magnoliopsida,Brassicales,Brassicaceae,Alliaria petiolata (M. Bieb.) Cavara et Grande,Alliaria petiolata,Alliaria,őshonos,80,HT,DT,EUA,,Allium,4,3,4,5,3,5,4,5,0,4,8,9
83,Angiospermae,Liliopsida,Asparagales,Amaryllidaceae,Allium angulosum L.,Allium angulosum,Allium,őshonos,60,Ge,S,EUA,,Allium,6,2,8,8,3-4,8,4,8,0,2,3,2
84,Angiospermae,Liliopsida,Asparagales,Amaryllidaceae,Allium atropurpureum Waldst. et Kit.,Allium atropurpureum,Allium,rejtett honosságú,100,Ge,W,PaB,meghonosodott faj,Allium,5,2,3,4,3,,,7,,3,6,
85,Angiospermae,Liliopsida,Asparagales,Amaryllidaceae,Allium atroviolaceum Boiss.,Allium atroviolaceum,Allium,rejtett honosságú,120,Ge,W,BAL,meghonosodott faj,Allium,6,3,3,4,3,,,7,,3,6,
86,Angiospermae,Liliopsida,Asparagales,Amaryllidaceae,Allium carinatum L.,Allium carinatum,Allium,őshonos,60,Ge,DT,SME,,Allium,6,3,4,3,2-3,3,,7,0,2-3,3,2
87,Angiospermae,Liliopsida,Asparagales,Amaryllidaceae,Allium cepa L.,Allium cepa,Allium,idegenhonos,100,Ge,,,alkalmi faj,Allium,6,3,,,,,,,,,,
88,Angiospermae,Liliopsida,Asparagales,Amaryllidaceae,Allium fistulosum L.,Allium fistulosum,Allium,idegenhonos,70,Ge,,,alkalmi faj,Allium,6,3,,,,,,,,,,
89,Angiospermae,Liliopsida,Asparagales,Amaryllidaceae,Allium flavum L.,Allium flavum,Allium,őshonos,50,Ge,G,PoM,,Allium,7,2,0,2,2,,5,9,,1-2,1,
90,Angiospermae,Liliopsida,Asparagales,Amaryllidaceae,Allium lusitanicum Lam.,Allium lusitanicum,Allium,őshonos,30,Ge,G,CON,,Allium,7,2,2,2,2,2,4,9,0,1-2,2,2
91,Angiospermae,Liliopsida,Asparagales,Amaryllidaceae,Allium moschatum L.,Allium moschatum,Allium,őshonos,40,Ge,G,PoM,,Allium,7,3,2,2,2,,5,9,,1,1,
92,Angiospermae,Liliopsida,Asparagales,Amaryllidaceae,Allium oleraceum L.,Allium oleraceum,Allium,őshonos,100,Ge,S,CEU,,Allium,7,2,4,3,2,3,,8,0,3,4,4
93,Angiospermae,Liliopsida,Asparagales,Amaryllidaceae,Allium paniculatum L. s. str.,Allium paniculatum,Allium,őshonos,80,Ge,G,EUA,,Allium,5,3,2,4,2,,4,8,,2,4,
94,Angiospermae,Liliopsida,Asparagales,Amaryllidaceae,Allium paradoxum (M. Bieb.) G. Don,Allium paradoxum,Allium,idegenhonos,,,,,alkalmi faj,Allium,,,,,,5,,,0,,,7
95,Angiospermae,Liliopsida,Asparagales,Amaryllidaceae,Allium porrum L.,Allium porrum,Allium,idegenhonos,180,Ge,,,alkalmi faj,Allium,6,3,,,,,,,,,,
96,Angiospermae,Liliopsida,Asparagales,Amaryllidaceae,Allium rotundum L.,Allium rotundum,Allium,őshonos,90,Ge,G,PoM,,Allium,6,3,2,4,2,4,,9,0,1-2,4,4
97,Angiospermae,Liliopsida,Asparagales,Amaryllidaceae,Allium sativum L.,Allium sativum,Allium,idegenhonos,100,Ge,,,alkalmi faj,Allium,7,2,,,,,,,,,,
98,Angiospermae,Liliopsida,Asparagales,Amaryllidaceae,Allium schoenoprasum L.,Allium schoenoprasum,Allium,idegenhonos,50,Ge,,,alkalmi faj,Allium,5,3,,,,,,,0,,,2
99,Angiospermae,Liliopsida,Asparagales,Amaryllidaceae,Allium scorodoprasum L. s. str.,Allium scorodoprasum,Allium,idegenhonos,90,Ge,DT,CEU,meghonosodott faj,Allium,6,2,3,5,3,7,4,6,0,2,7,7
100,Angiospermae,Liliopsida,Asparagales,Amaryllidaceae,Allium sphaerocephalon L.,Allium sphaerocephalon,Allium,őshonos,90,Ge,G,SME,,Allium,6,3,2,2,2,3,4,9,0,1-2,2,2
101,Angiospermae,Liliopsida,Asparagales,Amaryllidaceae,Allium suaveolens Jacq.,Allium suaveolens,Allium,őshonos,60,Ge,Sr,CEU,,Allium,6,2,9,8,3-4,8,5,9,0,1-2,2,2
102,Angiospermae,Liliopsida,Asparagales,Amaryllidaceae,Allium ursinum L.,Allium ursinum,Allium,őshonos,50,Ge,C,CEU,,Allium,4,2,6,6,3,6,4,2,0,4,8,8
103,Angiospermae,Liliopsida,Asparagales,Amaryllidaceae,Allium victorialis L.,Allium victorialis,Allium,őshonos,60,Ge,Sr,ALP,,Allium,5,2,5,6,3,5,5,3,0,3,7,4
104,Angiospermae,Liliopsida,Asparagales,Amaryllidaceae,Allium vineale L.,Allium vineale,Allium,őshonos,120,Ge,W,CEU,,Allium,6,4,,4,3,4,,5,0,3,7,7
105,Angiospermae,Magnoliopsida,Fagales,Betulaceae,Alnus glutinosa (L.) Gaertn.,Alnus glutinosa,Alnus,őshonos,3000,MM,C,EUR,,Epilobium,3,2,10,9,3-4,9,0,5,1,,7,
106,Angiospermae,Magnoliopsida,Fagales,Betulaceae,Alnus incana (L.) Moench,Alnus incana,Alnus,őshonos,1500,MM,G,CIR,,Epilobium,3,2,7,7,3-4,7,4,6,0,0,6,
107,Angiospermae,Magnoliopsida,Fagales,Betulaceae,Alnus viridis (Chaix) DC.,Alnus viridis,Alnus,őshonos,300,M,Sr,CEA,,Epilobium,4,1,7,6,3,6,2,7,0,2,5,7
108,Angiospermae,Liliopsida,Poales,Poaceae,Alopecurus aequalis Sobol.,Alopecurus aequalis,Alopecurus,őshonos,40,He,DT,CIR,,Sparganium,5,4,6,8,4,9,4,9,0,4-5,9,9
109,Angiospermae,Liliopsida,Poales,Poaceae,Alopecurus geniculatus L.,Alopecurus geniculatus,Alopecurus,őshonos,45,He,G,EUR,,Sparganium,5,3,9,9,4,8,5,6,2,3-4,7,7
110,Angiospermae,Liliopsida,Poales,Poaceae,Alopecurus myosuroides Huds.,Alopecurus myosuroides,Alopecurus,idegenhonos,60,Th,W,ADV,meghonosodott faj,Allium,5,3,3,6,3,5,3,7,0,3,7,6
111,Angiospermae,Liliopsida,Poales,Poaceae,Alopecurus pratensis L.,Alopecurus pratensis,Alopecurus,őshonos,100,He,C,EUA,,Allium,4,4,8,6,3,6,0,7,0,3-4,7,7
112,Angiospermae,Magnoliopsida,Malvales,Malvaceae,Althaea armeniaca Ten.,Althaea armeniaca,Althaea,őshonos,150,He,,,,Allium,6,4,,,,,,,,,,
113,Angiospermae,Magnoliopsida,Malvales,Malvaceae,Althaea cannabina L.,Althaea cannabina,Althaea,idegenhonos,100,He,DT,ADV,meghonosodott faj,Allium,7,4,,3,1-2,,,8,,2,4,
114,Angiospermae,Magnoliopsida,Malvales,Malvaceae,Althaea hirsuta L.,Althaea hirsuta,Althaea,idegenhonos,50,Th,DT,PoM,meghonosodott faj,Allium,5,3,,4,1-2,4,,7,0,2,3,3
115,Angiospermae,Magnoliopsida,Malvales,Malvaceae,Althaea officinalis agg.,Althaea officinalis,Althaea,idegenhonos,150,He,DT,CON,meghonosodott faj,Allium,6,4,6,7,4,7,5,7,2,2,4,4
116,Angiospermae,Magnoliopsida,Brassicales,Brassicaceae,Alyssum alyssoides L.,Alyssum alyssoides,Alyssum,őshonos,30,Th-HT,NP,EUR,,Allium,4,2,3,3,2,3,0,9,0,1-2,1,1
117,Angiospermae,Magnoliopsida,Brassicales,Brassicaceae,Alyssum desertorum Stapf,Alyssum desertorum,Alyssum,őshonos,20,Th,NP,CON,,Allium,4,2,3,3,2,,,9,,1,1,
118,Angiospermae,Magnoliopsida,Brassicales,Brassicaceae,Alyssum montanum L.,Alyssum montanum,Alyssum,őshonos,25,He,G,EUR,,Allium,3,2,1,2,2,2,5,9,0,1,1,1
119,Angiospermae,Magnoliopsida,Brassicales,Brassicaceae,Alyssum tortuosum Willd.,Alyssum tortuosum,Alyssum,őshonos,35,He,S,CON,,Allium,4,3,2,2,2,,5,9,,1,1,
120,Angiospermae,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus albus L.,Amaranthus albus,Amaranthus,idegenhonos,50,Th,RC,ADV,özönfaj,Allium,7,4,4,4,2-3,2,,9,1,4,8,7
121,Angiospermae,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus blitoides S. Watson,Amaranthus blitoides,Amaranthus,idegenhonos,50,Th,W,ADV,özönfaj,Allium,7,4,3,3,2-3,3,4,9,0,4-5,8,8
122,Angiospermae,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus blitum L.,Amaranthus blitum,Amaranthus,idegenhonos,80,Th,W,ADV,meghonosodott faj,Allium,7,4,,4,2-3,4,,8,0,4,8,8
123,Angiospermae,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus bouchonii Thell.,Amaranthus bouchonii,Amaranthus,idegenhonos,100,Th,,ADV,meghonosodott faj,Allium,6,4,,,,,,,,,,
124,Angiospermae,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus caudatus L.,Amaranthus caudatus,Amaranthus,idegenhonos,120,Th,,,alkalmi faj,Allium,7,4,,,,,,,,,,
125,Angiospermae,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus crispus (Lesp. et Thév.) N. Terracc.,Amaranthus crispus,Amaranthus,idegenhonos,40,Th,A,ADV,meghonosodott faj,Allium,7,3,5,5,2-3,,,9,,4,8,
126,Angiospermae,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus deflexus L.,Amaranthus deflexus,Amaranthus,idegenhonos,50,Th,A,ADV,meghonosodott faj,Allium,7,4,0,4,2-3,4,4,8,0,4,7,7
127,Angiospermae,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus graecizans L.,Amaranthus graecizans,Amaranthus,idegenhonos,70,Th,W,ADV,alkalmi faj,Allium,7,4,,4,3,3,,9,0,4,8,8
